02_028,"Yam tuber, Isu oko,raw (Nigeria) n=1","Igname, racine, Isu oko, crue (Nigeria)",02_028,"Yam, tuber, Isu oko, raw (Nigeria), n=1","Igname, tubercule, Isu oko, cru (Nigéria), n=1"
02_029,"Yam,  tuber, Amara, raw (Nigeria) n=1","Igname, racine, Amara, crue (Nigeria)",02_029,"Yam, tuber, Amara, raw (Nigeria), n=1","Igname, tubercule, Amara, cru (Nigéria), n=1"
02_030,"Yam, tuber, Chika, kundu, raw (Nigeria) n=1","Igname, racine, Chika kundu, crue (Nigeria)",02_030,"Yam, tuber, Chika, kundu, raw (Nigeria), n=1","Igname, tubercule, Chika, kundu, cru (Nigéria), n=1"
02_031,"Yam, tuber, Isu Abuja, raw (Nigeria) n=1","Igname, racine, Isu Abuja, crue (Nigeria)",02_031,"Yam, tuber, Isu Abuja, raw (Nigeria), n=1","Igname, tubercule, Isu Abuja, cru (Nigéria), n=1"
02_032,"Yam, tuber, Pepa, raw (Nigeria) n=1","Igname, racine, Pepa, crue (Nigeria)",02_032,"Yam, tuber, Pepa, raw (Nigeria), n=1","Igname, tubercule, Pepa, cru (Nigéria), n=1"
02_033,"Yam, tuber, Giwa, raw (Nigeria) n=1","Igname, racine, Giwa, crue (Nigeria)",02_033,"Yam, tuber, Giwa, raw (Nigeria), n=1","Igname, tubercule, Giwa, cru (Nigéria), n=1"
02_034,"Yam tuber, combined cultivars, raw (Nigeria)","Igname, racine, variétés combinées, crue (Nigeria)",02_034,"Yam, tuber, combined cultivars, raw (Nigeria)","Igname, tubercule, cultivars combinés, cru (Nigéria)"
02_035,"Yam tuber, combined cultivars, boiled (Nigeria)* (without salt)","Igname, racine, variétés combinées, bouillie (Nigeria)* (sans sel)",02_035,"Yam, tuber, combined cultivars (Nigeria), boiled* (without salt), drained","Igname, tubercule, cultivars combinés (Nigéria), bouilli* (sans sel), égoutté"
02_036,"Yam tuber, flour","Igname, racine, farine",02_036,"Yam, tuber, flour, from white yam tuber","Igname, tubercule, blanc, farine"
03 Legumes and their products/Légumineuses et produits dérivés,,,03 Legumes and their products/Légumineuses et produits dérivés,,
03_009,"African locust bean, seeds, dried","Néré, graines, séchées",03_009,"African locust bean, dry, raw","Néré, sec, cru"
03_010,"African yam bean, dried, raw","Haricot igname, sec, cru",03_010,"African yam bean, dry, raw","Haricot igname, sec, cru"
03_011,"African yam bean, boiled* (without salt)","Haricot igname, bouilli* (sans sel)",03_011,"African yam bean, not soaked, boiled* (without salt), drained","Haricot igname, non trempé, bouilli* (sans sel), égoutté"
03_001,"Bambara groundnut, dried, raw ","Pois bambara, sec, crue ",03_001,"Bambara groundnut, dry, raw","Pois bambara, sec, cru"
03_012,"Bambara groundnut, boiled* (without salt)","Pois bambara, bouilli* (sans sel)",03_012,"Bambara groundnut, not soaked, boiled* (without salt), drained","Pois bambara, non trempé, bouilli* (sans sel), égoutté"
03_013,"Bambara groundnut, black-white-eye, dried, raw (Ghana) n=1","Pois bambara, œil noir et blanc, sec, cru (Ghana)",03_013,"Bambara groundnut, black white-eye, dry, raw (Ghana), n=1","Pois bambara, œil noir et blanc, sec, cru (Ghana), n=1"
03_014,"Bambara groundnut, brown white-eye, dried, raw (Ghana) n=1","Pois bambara, œil brun et blanc, sec, cru (Ghana)",03_014,"Bambara groundnut, brown white-eye, dry, raw (Ghana), n=1","Pois bambara, œil brun et blanc, sec, cru (Ghana), n=1"
